Vendor,GRAPHTEC Corporation
Model,GL840
Firmware,Ver1.24
Software, "Ver1.22"
MaxChannel,20CH
GSStartCH,20CH
WLStartCH,20CH
Sampling,2s
Total data points,102         
Trigger,0           
Start time,2023-03-03,14:07:32
Stop time,2023-03-03,14:10:58
Trigger time,2023-03-03,14:07:36
AC Mode, AC1_2, AC1_2, AC1_2, AC1_2, AC1_2, AC1_2, AC1_2
Logic/Pulse,Off,Off,Off,Off,Off,Off,Off
Amp setting
CH, Signal name, AMP, Input, Range, Temp Range, Filter, Span
CH1,CH1,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH2,CH2,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH3,CH3,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH4,CH4,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH5,CH5,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH6,CH6,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH7,CH7,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH8,CH8,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH9,CH9,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH10,CH10,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
Data
No., Date&Time, ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1,Alarm2,AlarmOut
NO.,Time,ms,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,A1234567890,A1234567890,A123456789
1         ,2023-03-03 14:07:36,000,  +22.80,  +23.14,  +23.08,  +22.71,  +21.96,  +21.66,  +25.29,  +24.19,  +24.01,  +25.07,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
2         ,2023-03-03 14:07:38,000,  +22.80,  +23.14,  +23.07,  +22.72,  +21.96,  +21.66,  +23.80,  +24.01,  +23.97,  +25.16,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
3         ,2023-03-03 14:07:40,000,  +22.78,  +23.14,  +23.05,  +22.70,  +21.95,  +28.81,  +23.80,  +24.11,  +23.86,  +25.23,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
4         ,2023-03-03 14:07:42,000,  +22.80,  +23.14,  +23.05,  +22.72,  +22.15,  +55.03,  +24.32,  +24.14,  +23.94,  +25.14,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
5         ,2023-03-03 14:07:44,000,  +22.84,  +23.16,  +23.08,  +22.73,  +22.62,  +73.05,  +24.30,  +24.01,  +23.90,  +25.26,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
6         ,2023-03-03 14:07:46,000,  +22.84,  +23.18,  +23.07,  +22.73,  +23.32,  +61.98,  +23.84,  +24.14,  +23.70,  +25.77,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
7         ,2023-03-03 14:07:48,000,  +22.80,  +23.16,  +23.04,  +22.72,  +23.89,  +43.15,  +24.07,  +24.12,  +24.01,  +25.26,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
8         ,2023-03-03 14:07:50,000,  +22.77,  +23.16,  +23.07,  +22.73,  +24.63,  +35.31,  +24.32,  +24.26,  +23.85,  +25.72,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
9         ,2023-03-03 14:07:52,000,  +22.77,  +23.14,  +23.04,  +22.73,  +25.10,  +43.10,  +24.22,  +23.91,  +23.81,  +24.84,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
10        ,2023-03-03 14:07:54,000,  +22.77,  +23.16,  +23.04,  +22.73,  +25.71,  +52.68,  +24.26,  +23.96,  +23.64,  +24.25,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
11        ,2023-03-03 14:07:56,000,  +22.82,  +23.16,  +23.05,  +22.75,  +26.08,  +59.48,  +24.52,  +24.14,  +23.50,  +24.59,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
12        ,2023-03-03 14:07:58,000,  +22.80,  +23.14,  +23.04,  +22.75,  +26.33,  +51.98,  +24.61,  +24.02,  +23.75,  +24.09,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
