Vendor,GRAPHTEC Corporation
Model,GL840
Firmware,Ver1.24
Software, "Ver1.22"
MaxChannel,20CH
GSStartCH,20CH
WLStartCH,20CH
Sampling,2s
Total data points,127         
Trigger,0           
Start time,2023-03-03,14:35:58
Stop time,2023-03-03,14:40:14
Trigger time,2023-03-03,14:36:02
AC Mode, AC1_2, AC1_2, AC1_2, AC1_2, AC1_2, AC1_2, AC1_2
Logic/Pulse,Off,Off,Off,Off,Off,Off,Off
Amp setting
CH, Signal name, AMP, Input, Range, Temp Range, Filter, Span
CH1,CH1,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH2,CH2,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH3,CH3,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH4,CH4,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH5,CH5,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH6,CH6,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH7,CH7,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH8,CH8,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH9,CH9,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH10,CH10,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
Data
No., Date&Time, ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1,Alarm2,AlarmOut
NO.,Time,ms,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,A1234567890,A1234567890,A123456789
1         ,2023-03-03 14:36:02,000,  +25.23,  +25.21,  +25.19,  +24.94,  +25.64,  +21.82,  +24.88,  +23.96,  +27.30,  +24.61,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
2         ,2023-03-03 14:36:04,000,  +25.23,  +25.20,  +25.18,  +24.95,  +25.64,  +21.82,  +24.27,  +23.93,  +26.73,  +24.37,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
3         ,2023-03-03 14:36:06,000,  +25.23,  +25.21,  +25.18,  +24.95,  +25.64,  +21.82,  +24.62,  +23.39,  +25.37,  +24.48,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
4         ,2023-03-03 14:36:08,000,  +25.23,  +25.19,  +25.18,  +24.93,  +25.62,  +21.82,  +24.00,  +23.24,  +25.15,  +24.55,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
5         ,2023-03-03 14:36:10,000,  +25.21,  +25.19,  +25.15,  +24.93,  +25.62,  +21.84,  +24.14,  +24.37,  +24.78,  +24.14,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
6         ,2023-03-03 14:36:12,000,  +25.20,  +25.19,  +25.15,  +24.93,  +25.61,  +21.82,  +24.42,  +24.30,  +24.69,  +23.78,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
7         ,2023-03-03 14:36:14,000,  +25.20,  +25.19,  +25.16,  +24.93,  +25.59,  +21.82,  +24.73,  +24.02,  +24.48,  +23.86,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
8         ,2023-03-03 14:36:16,000,  +25.19,  +25.18,  +25.14,  +24.91,  +25.59,  +21.84,  +24.39,  +24.48,  +25.25,  +23.96,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
9         ,2023-03-03 14:36:18,000,  +25.14,  +25.16,  +25.12,  +24.91,  +25.57,  +21.82,  +24.73,  +24.73,  +24.93,  +22.97,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
10        ,2023-03-03 14:36:20,000,  +25.14,  +25.16,  +25.12,  +24.91,  +25.57,  +21.82,  +24.86,  +25.15,  +24.38,  +23.34,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
11        ,2023-03-03 14:36:22,000,  +25.12,  +25.16,  +25.09,  +24.89,  +25.56,  +21.80,  +24.38,  +25.07,  +24.78,  +23.49,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
12        ,2023-03-03 14:36:24,000,  +25.05,  +25.16,  +25.09,  +24.89,  +25.54,  +21.79,  +24.55,  +25.28,  +24.87,  +24.20,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
13        ,2023-03-03 14:36:26,000,  +24.99,  +25.14,  +25.07,  +24.88,  +25.54,  +21.78,  +23.86,  +25.05,  +25.18,  +23.70,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
14        ,2023-03-03 14:36:28,000,  +24.95,  +25.14,  +25.07,  +24.89,  +25.51,  +21.78,  +24.33,  +25.72,  +24.88,  +24.09,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
15        ,2023-03-03 14:36:30,000,  +24.91,  +25.12,  +25.07,  +24.86,  +25.50,  +21.78,  +24.69,  +25.71,  +24.86,  +23.70,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
16        ,2023-03-03 14:36:32,000,  +24.84,  +25.10,  +25.05,  +24.87,  +25.48,  +21.77,  +24.17,  +25.41,  +24.50,  +23.97,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
17        ,2023-03-03 14:36:34,000,  +24.84,  +25.10,  +25.04,  +24.87,  +25.48,  +21.73,  +24.57,  +25.66,  +24.38,  +24.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
18        ,2023-03-03 14:36:36,000,  +24.86,  +25.09,  +25.05,  +24.86,  +25.48,  +24.94,  +23.90,  +25.36,  +24.63,  +23.98,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
19        ,2023-03-03 14:36:38,000,  +24.86,  +25.09,  +25.04,  +24.86,  +25.59,  +66.02,  +24.20,  +25.18,  +24.50,  +23.55,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
20        ,2023-03-03 14:36:40,000,  +24.88,  +25.09,  +25.03,  +24.87,  +25.86,  +87.23,  +24.89,  +25.32,  +24.34,  +23.81,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
21        ,2023-03-03 14:36:42,000,  +24.88,  +25.10,  +25.03,  +24.89,  +26.23,  +74.56,  +24.33,  +24.75,  +24.27,  +24.39,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
