Vendor,GRAPHTEC Corporation
Model,GL840
Firmware,Ver1.24
Software, "Ver1.22"
MaxChannel,20CH
GSStartCH,20CH
WLStartCH,20CH
Sampling,2s
Total data points,94          
Trigger,0           
Start time,2023-03-03,15:14:13
Stop time,2023-03-03,15:17:23
Trigger time,2023-03-03,15:14:17
AC Mode, AC1_2, AC1_2, AC1_2, AC1_2, AC1_2, AC1_2, AC1_2
Logic/Pulse,Off,Off,Off,Off,Off,Off,Off
Amp setting
CH, Signal name, AMP, Input, Range, Temp Range, Filter, Span
CH1,CH1,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH2,CH2,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH3,CH3,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH4,CH4,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH5,CH5,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH6,CH6,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH7,CH7,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH8,CH8,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH9,CH9,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH10,CH10,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
Data
No., Date&Time, ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1,Alarm2,AlarmOut
NO.,Time,ms,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,A1234567890,A1234567890,A123456789
1         ,2023-03-03 15:14:17,000,  +24.98,  +25.46,  +25.18,  +25.25,  +25.21,  +21.91,  +24.94,  +26.91,  +25.51,  +25.51,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
2         ,2023-03-03 15:14:19,000,  +24.88,  +25.45,  +25.19,  +25.23,  +25.20,  +21.90,  +24.83,  +27.47,  +26.62,  +25.21,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
3         ,2023-03-03 15:14:21,000,  +24.80,  +25.45,  +25.19,  +25.23,  +25.20,  +32.33,  +24.80,  +26.80,  +25.95,  +25.31,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
4         ,2023-03-03 15:14:23,000,  +24.71,  +25.46,  +25.16,  +25.23,  +25.30,  +57.40,  +25.59,  +27.22,  +26.14,  +25.20,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
5         ,2023-03-03 15:14:25,000,  +24.78,  +25.48,  +25.12,  +25.23,  +25.92,  +70.92,  +25.16,  +26.85,  +25.80,  +25.14,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
6         ,2023-03-03 15:14:27,000,  +24.74,  +25.54,  +25.10,  +25.23,  +26.78,  +56.43,  +25.16,  +26.21,  +26.07,  +25.07,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
7         ,2023-03-03 15:14:29,000,  +24.66,  +25.45,  +25.10,  +25.23,  +27.41,  +40.75,  +25.39,  +26.81,  +26.02,  +25.61,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
8         ,2023-03-03 15:14:31,000,  +24.57,  +25.44,  +25.07,  +25.23,  +28.12,  +34.88,  +25.59,  +26.85,  +26.11,  +24.91,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
9         ,2023-03-03 15:14:33,000,  +24.52,  +25.44,  +25.07,  +25.23,  +28.44,  +38.21,  +25.12,  +27.30,  +26.07,  +25.30,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
10        ,2023-03-03 15:14:35,000,  +24.50,  +25.43,  +25.07,  +25.25,  +28.62,  +43.36,  +25.02,  +26.91,  +25.53,  +25.64,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
11        ,2023-03-03 15:14:37,000,  +24.50,  +25.45,  +25.05,  +25.26,  +28.66,  +46.69,  +24.78,  +26.70,  +25.57,  +25.53,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
12        ,2023-03-03 15:14:39,000,  +24.50,  +25.43,  +25.05,  +25.28,  +29.05,  +42.20,  +25.12,  +27.07,  +25.93,  +25.37,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
13        ,2023-03-03 15:14:41,000,  +24.57,  +25.41,  +25.03,  +25.26,  +29.38,  +37.93,  +25.20,  +26.93,  +25.70,  +25.32,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
14        ,2023-03-03 15:14:43,000,  +24.57,  +25.41,  +25.03,  +25.28,  +29.75,  +45.93,  +25.48,  +27.52,  +25.82,  +25.64,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
15        ,2023-03-03 15:14:45,000,  +24.55,  +25.43,  +25.00,  +25.28,  +31.19,  +55.23,  +25.45,  +27.07,  +26.21,  +25.41,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
16        ,2023-03-03 15:14:47,000,  +24.53,  +25.44,  +25.03,  +25.30,  +32.04,  +58.02,  +25.15,  +26.28,  +25.86,  +24.73,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
17        ,2023-03-03 15:14:49,000,  +24.50,  +25.45,  +25.09,  +25.31,  +32.09,  +45.11,  +24.86,  +26.29,  +25.32,  +24.83,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
18        ,2023-03-03 15:14:51,000,  +24.50,  +25.44,  +25.07,  +25.32,  +32.62,  +38.68,  +25.53,  +26.16,  +25.53,  +23.87,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
19        ,2023-03-03 15:14:53,000,  +24.47,  +25.39,  +25.03,  +25.35,  +34.18,  +39.29,  +25.34,  +25.19,  +25.80,  +24.46,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
20        ,2023-03-03 15:14:55,000,  +24.55,  +25.40,  +24.98,  +25.34,  +35.52,  +49.87,  +25.56,  +25.44,  +25.87,  +25.09,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
21        ,2023-03-03 15:14:57,000,  +24.59,  +25.40,  +24.95,  +25.37,  +35.99,  +59.04,  +26.03,  +25.16,  +25.15,  +24.63,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
22        ,2023-03-03 15:14:59,000,  +24.68,  +25.45,  +24.95,  +25.41,  +35.38,  +58.44,  +25.79,  +25.02,  +25.77,  +25.10,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
23        ,2023-03-03 15:15:01,000,  +24.74,  +25.43,  +24.96,  +25.43,  +35.69,  +50.58,  +26.03,  +23.93,  +26.27,  +25.91,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
24        ,2023-03-03 15:15:03,000,  +24.75,  +25.41,  +24.95,  +25.44,  +36.23,  +45.66,  +25.48,  +24.52,  +27.20,  +25.59,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
25        ,2023-03-03 15:15:05,000,  +24.79,  +25.44,  +24.93,  +25.46,  +38.21,  +50.31,  +25.61,  +24.89,  +27.67,  +26.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
26        ,2023-03-03 15:15:07,000,  +24.87,  +25.45,  +25.00,  +25.48,  +38.84,  +52.99,  +26.02,  +24.83,  +27.79,  +25.75,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
27        ,2023-03-03 15:15:09,000,  +24.91,  +25.48,  +25.09,  +25.48,  +39.23,  +49.15,  +26.34,  +25.50,  +27.01,  +25.73,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
28        ,2023-03-03 15:15:11,000,  +25.02,  +25.45,  +25.07,  +25.50,  +39.25,  +43.54,  +26.27,  +25.39,  +27.32,  +26.37,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
29        ,2023-03-03 15:15:13,000,  +25.02,  +25.43,  +25.14,  +25.50,  +39.96,  +40.05,  +26.36,  +25.50,  +27.00,  +26.50,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
30        ,2023-03-03 15:15:15,000,  +25.03,  +25.43,  +25.16,  +25.53,  +41.45,  +47.00,  +25.88,  +25.51,  +26.00,  +25.76,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
31        ,2023-03-03 15:15:17,000,  +25.12,  +25.43,  +25.15,  +25.53,  +41.97,  +56.62,  +26.14,  +25.75,  +26.81,  +26.53,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
32        ,2023-03-03 15:15:19,000,  +25.18,  +25.45,  +25.23,  +25.56,  +41.41,  +62.16,  +26.81,  +25.59,  +25.87,  +25.81,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
33        ,2023-03-03 15:15:21,000,  +25.18,  +25.44,  +25.16,  +25.59,  +40.95,  +55.76,  +27.05,  +25.84,  +26.13,  +25.95,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
34        ,2023-03-03 15:15:23,000,  +25.25,  +25.44,  +25.19,  +25.61,  +41.26,  +49.52,  +26.94,  +25.84,  +26.07,  +25.89,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
35        ,2023-03-03 15:15:25,000,  +25.29,  +25.45,  +25.10,  +25.61,  +42.55,  +50.12,  +26.69,  +26.25,  +26.21,  +26.05,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
36        ,2023-03-03 15:15:27,000,  +25.26,  +25.48,  +25.09,  +25.64,  +43.62,  +52.72,  +26.38,  +25.73,  +26.57,  +26.41,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
37        ,2023-03-03 15:15:29,000,  +25.23,  +25.48,  +25.00,  +25.66,  +43.67,  +53.50,  +25.73,  +25.54,  +26.57,  +26.44,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
