Vendor,GRAPHTEC Corporation
Model,GL840
Firmware,Ver1.24
Software, "Ver1.22"
MaxChannel,20CH
GSStartCH,20CH
WLStartCH,20CH
Sampling,2s
Total data points,74          
Trigger,0           
Start time,2023-03-03,15:37:52
Stop time,2023-03-03,15:40:22
Trigger time,2023-03-03,15:37:56
AC Mode, AC1_2, AC1_2, AC1_2, AC1_2, AC1_2, AC1_2, AC1_2
Logic/Pulse,Off,Off,Off,Off,Off,Off,Off
Amp setting
CH, Signal name, AMP, Input, Range, Temp Range, Filter, Span
CH1,CH1,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH2,CH2,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH3,CH3,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH4,CH4,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH5,CH5,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH6,CH6,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH7,CH7,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH8,CH8,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH9,CH9,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH10,CH10,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
Data
No., Date&Time, ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1,Alarm2,AlarmOut
NO.,Time,ms,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,A1234567890,A1234567890,A123456789
1         ,2023-03-03 15:37:56,000,  +26.62,  +26.98,  +26.89,  +26.62,  +28.35,  +22.55,  +26.62,  +25.64,  +27.67,  +26.91,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
2         ,2023-03-03 15:37:58,000,  +26.62,  +26.96,  +26.89,  +26.64,  +28.35,  +22.51,  +26.55,  +25.62,  +27.55,  +26.07,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
3         ,2023-03-03 15:38:00,000,  +26.62,  +26.96,  +26.89,  +26.62,  +28.34,  +22.51,  +26.32,  +25.96,  +27.91,  +26.94,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
4         ,2023-03-03 15:38:02,000,  +26.62,  +26.95,  +26.89,  +26.62,  +28.32,  +22.48,  +26.66,  +25.53,  +27.26,  +26.59,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
5         ,2023-03-03 15:38:04,000,  +26.62,  +26.95,  +26.87,  +26.62,  +28.32,  +22.48,  +25.86,  +25.91,  +27.37,  +26.30,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
6         ,2023-03-03 15:38:06,000,  +26.64,  +26.95,  +26.87,  +26.62,  +28.30,  +22.47,  +26.03,  +25.50,  +27.52,  +26.55,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
7         ,2023-03-03 15:38:08,000,  +26.64,  +26.94,  +26.87,  +26.60,  +28.29,  +22.46,  +25.95,  +25.96,  +27.88,  +26.37,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
8         ,2023-03-03 15:38:10,000,  +26.64,  +26.94,  +26.86,  +26.59,  +28.28,  +22.43,  +26.05,  +26.14,  +27.39,  +26.37,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
9         ,2023-03-03 15:38:12,000,  +26.64,  +26.93,  +26.85,  +26.60,  +28.27,  +22.45,  +25.80,  +25.72,  +27.94,  +26.53,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
10        ,2023-03-03 15:38:14,000,  +26.65,  +26.93,  +26.85,  +26.59,  +28.24,  +22.45,  +25.89,  +25.21,  +28.03,  +26.21,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
11        ,2023-03-03 15:38:16,000,  +26.60,  +26.91,  +26.84,  +26.59,  +28.21,  +22.47,  +25.73,  +25.41,  +28.19,  +26.33,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
12        ,2023-03-03 15:38:18,000,  +26.55,  +26.91,  +26.84,  +26.59,  +28.21,  +22.47,  +26.59,  +25.84,  +28.29,  +26.36,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
13        ,2023-03-03 15:38:20,000,  +26.57,  +26.91,  +26.84,  +26.59,  +28.19,  +22.45,  +26.28,  +25.53,  +28.05,  +26.46,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
14        ,2023-03-03 15:38:22,000,  +26.54,  +26.91,  +26.84,  +26.59,  +28.18,  +22.41,  +26.32,  +25.53,  +28.19,  +26.46,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
15        ,2023-03-03 15:38:24,000,  +26.38,  +26.91,  +26.81,  +26.59,  +28.16,  +22.39,  +26.11,  +25.35,  +27.96,  +26.30,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
16        ,2023-03-03 15:38:26,000,  +26.19,  +26.90,  +26.81,  +26.57,  +28.14,  +22.39,  +25.84,  +24.84,  +27.30,  +26.68,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
17        ,2023-03-03 15:38:28,000,  +26.05,  +26.87,  +26.80,  +26.57,  +28.12,  +22.37,  +26.02,  +25.04,  +26.62,  +25.95,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
18        ,2023-03-03 15:38:30,000,  +25.95,  +26.87,  +26.80,  +26.55,  +28.12,  +22.41,  +25.82,  +24.48,  +26.90,  +25.96,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
19        ,2023-03-03 15:38:32,000,  +25.84,  +26.87,  +26.80,  +26.57,  +28.09,  +22.39,  +26.27,  +25.45,  +26.93,  +25.28,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
20        ,2023-03-03 15:38:34,000,  +25.76,  +26.86,  +26.79,  +26.55,  +28.07,  +22.34,  +25.77,  +25.84,  +26.36,  +25.59,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
21        ,2023-03-03 15:38:36,000,  +25.64,  +26.86,  +26.80,  +26.57,  +28.09,  +22.36,  +26.28,  +25.07,  +26.11,  +25.39,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
22        ,2023-03-03 15:38:38,000,  +25.62,  +26.86,  +26.79,  +26.57,  +28.09,  +22.36,  +26.00,  +25.87,  +26.57,  +25.59,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
23        ,2023-03-03 15:38:40,000,  +25.56,  +26.86,  +26.77,  +26.55,  +28.07,  +22.36,  +26.16,  +25.19,  +25.84,  +25.36,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
24        ,2023-03-03 15:38:42,000,  +25.48,  +26.85,  +26.77,  +26.54,  +28.03,  +22.35,  +26.13,  +26.12,  +26.25,  +25.59,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
25        ,2023-03-03 15:38:44,000,  +25.46,  +26.82,  +26.75,  +26.54,  +28.02,  +22.32,  +26.25,  +26.05,  +26.18,  +25.87,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
26        ,2023-03-03 15:38:46,000,  +25.41,  +26.82,  +26.74,  +26.54,  +28.02,  +22.34,  +26.74,  +25.96,  +26.74,  +25.44,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
27        ,2023-03-03 15:38:48,000,  +25.37,  +26.80,  +26.71,  +26.54,  +27.98,  +22.32,  +26.57,  +25.92,  +26.13,  +25.30,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
28        ,2023-03-03 15:38:50,000,  +25.30,  +26.79,  +26.73,  +26.53,  +27.96,  +22.31,  +25.98,  +25.96,  +26.25,  +25.48,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
29        ,2023-03-03 15:38:52,000,  +25.21,  +26.78,  +26.71,  +26.52,  +27.94,  +22.30,  +26.62,  +25.76,  +26.55,  +25.45,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
30        ,2023-03-03 15:38:54,000,  +25.20,  +26.77,  +26.69,  +26.50,  +27.94,  +22.29,  +25.84,  +26.43,  +25.81,  +25.39,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
31        ,2023-03-03 15:38:56,000,  +25.19,  +26.74,  +26.68,  +26.49,  +27.93,  +22.26,  +26.08,  +25.44,  +26.19,  +24.91,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
32        ,2023-03-03 15:38:58,000,  +25.25,  +26.74,  +26.66,  +26.49,  +27.91,  +22.26,  +26.57,  +26.00,  +26.00,  +25.36,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
33        ,2023-03-03 15:39:00,000,  +25.23,  +26.73,  +26.65,  +26.49,  +27.88,  +22.28,  +25.71,  +25.96,  +26.64,  +25.39,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
34        ,2023-03-03 15:39:02,000,  +25.26,  +26.73,  +26.62,  +26.48,  +27.88,  +22.28,  +26.64,  +26.28,  +26.62,  +25.43,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
35        ,2023-03-03 15:39:04,000,  +25.28,  +26.71,  +26.64,  +26.46,  +27.86,  +22.26,  +25.93,  +26.09,  +26.50,  +24.63,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
36        ,2023-03-03 15:39:06,000,  +25.29,  +26.68,  +26.59,  +26.46,  +27.82,  +22.23,  +26.09,  +26.28,  +25.91,  +24.89,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
37        ,2023-03-03 15:39:08,000,  +25.26,  +26.66,  +26.57,  +26.43,  +27.79,  +22.21,  +26.11,  +26.36,  +25.95,  +25.05,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
38        ,2023-03-03 15:39:10,000,  +25.23,  +26.65,  +26.55,  +26.43,  +27.77,  +22.23,  +25.82,  +26.71,  +26.36,  +25.64,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
39        ,2023-03-03 15:39:12,000,  +25.23,  +26.64,  +26.54,  +26.41,  +27.75,  +22.21,  +25.82,  +27.44,  +25.97,  +26.05,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
40        ,2023-03-03 15:39:14,000,  +25.29,  +26.62,  +26.54,  +26.41,  +27.75,  +22.21,  +25.84,  +27.34,  +26.57,  +25.87,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
41        ,2023-03-03 15:39:16,000,  +25.31,  +26.62,  +26.55,  +26.41,  +27.73,  +22.25,  +25.59,  +27.47,  +26.59,  +26.64,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
42        ,2023-03-03 15:39:18,000,  +25.34,  +26.62,  +26.54,  +26.39,  +27.72,  +22.23,  +25.56,  +26.86,  +26.91,  +26.54,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
43        ,2023-03-03 15:39:20,000,  +25.34,  +26.60,  +26.53,  +26.37,  +27.70,  +22.23,  +25.82,  +25.84,  +25.80,  +26.98,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
44        ,2023-03-03 15:39:22,000,  +25.35,  +26.60,  +26.53,  +26.38,  +27.70,  +22.21,  +26.14,  +26.09,  +26.05,  +27.89,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
45        ,2023-03-03 15:39:24,000,  +25.39,  +26.59,  +26.52,  +26.36,  +27.66,  +22.21,  +26.33,  +26.70,  +26.05,  +27.66,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
46        ,2023-03-03 15:39:26,000,  +25.40,  +26.57,  +26.48,  +26.34,  +27.64,  +22.21,  +26.77,  +26.84,  +25.61,  +27.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
47        ,2023-03-03 15:39:28,000,  +25.32,  +26.57,  +26.50,  +26.34,  +27.63,  +22.21,  +27.14,  +26.21,  +26.62,  +25.96,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
