Vendor,GRAPHTEC Corporation
Model,GL840
Firmware,Ver1.24
Software, "Ver1.22"
MaxChannel,20CH
GSStartCH,20CH
WLStartCH,20CH
Sampling,2s
Total data points,233         
Trigger,0           
Start time,2023-03-03,15:57:06
Stop time,2023-03-03,16:04:54
Trigger time,2023-03-03,15:57:10
AC Mode, AC1_2, AC1_2, AC1_2, AC1_2, AC1_2, AC1_2, AC1_2
Logic/Pulse,Off,Off,Off,Off,Off,Off,Off
Amp setting
CH, Signal name, AMP, Input, Range, Temp Range, Filter, Span
CH1,CH1,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH2,CH2,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH3,CH3,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH4,CH4,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH5,CH5,M,TEMP,TC_K,500degC,Off,500.000000,-270.000000,degC
CH6,CH6,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH7,CH7,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH8,CH8,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH9,CH9,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH10,CH10,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
Data
No., Date&Time, ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1,Alarm2,AlarmOut
NO.,Time,ms,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,A1234567890,A1234567890,A123456789
1         ,2023-03-03 15:57:10,000,  +37.72,  +36.02,  +35.09,  +38.12,  +94.60,  +27.68,  +27.21,  +26.32,  +28.48,  +27.12,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
2         ,2023-03-03 15:57:12,000,  +37.79,  +36.08,  +35.17,  +38.12,  +94.35,  +27.66,  +26.65,  +26.13,  +28.19,  +26.85,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
3         ,2023-03-03 15:57:14,000,  +37.84,  +36.10,  +35.21,  +38.13,  +94.05,  +27.58,  +27.20,  +25.92,  +27.96,  +27.11,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
4         ,2023-03-03 15:57:16,000,  +37.81,  +36.15,  +35.26,  +38.19,  +93.80,  +27.55,  +26.57,  +26.07,  +27.53,  +26.90,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
5         ,2023-03-03 15:57:18,000,  +37.87,  +36.19,  +35.32,  +38.20,  +93.60,  +27.44,  +26.80,  +26.52,  +27.48,  +26.77,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
6         ,2023-03-03 15:57:20,000,  +37.98,  +36.23,  +35.36,  +38.21,  +93.50,  +27.30,  +27.11,  +26.53,  +26.96,  +26.36,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
7         ,2023-03-03 15:57:22,000,  +38.10,  +36.27,  +35.38,  +38.26,  +93.25,  +27.17,  +27.59,  +26.66,  +27.10,  +27.06,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
8         ,2023-03-03 15:57:24,000,  +38.04,  +36.30,  +35.45,  +38.27,  +93.05,  +27.10,  +27.75,  +26.44,  +27.01,  +26.93,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
9         ,2023-03-03 15:57:26,000,  +38.02,  +36.37,  +35.51,  +38.32,  +92.85,  +27.03,  +27.39,  +26.85,  +27.16,  +27.21,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
10        ,2023-03-03 15:57:28,000,  +38.10,  +36.38,  +35.55,  +38.37,  +92.65,  +26.93,  +27.14,  +26.65,  +25.89,  +27.23,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
11        ,2023-03-03 15:57:30,000,  +38.20,  +36.45,  +35.62,  +38.41,  +92.50,  +26.82,  +26.95,  +27.14,  +26.79,  +27.63,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
12        ,2023-03-03 15:57:32,000,  +38.27,  +36.45,  +35.66,  +38.44,  +92.35,  +26.73,  +26.38,  +27.01,  +26.49,  +28.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
13        ,2023-03-03 15:57:34,000,  +38.40,  +36.51,  +35.69,  +38.48,  +92.15,  +26.64,  +25.96,  +26.66,  +26.28,  +27.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
14        ,2023-03-03 15:57:36,000,  +38.42,  +36.54,  +35.69,  +38.49,  +91.90,  +26.54,  +25.87,  +26.66,  +26.65,  +26.57,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
15        ,2023-03-03 15:57:38,000,  +38.38,  +36.58,  +35.72,  +38.51,  +91.70,  +26.46,  +25.34,  +27.64,  +26.98,  +26.36,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
16        ,2023-03-03 15:57:40,000,  +38.41,  +36.59,  +35.76,  +38.52,  +91.50,  +26.37,  +25.37,  +27.77,  +26.94,  +25.59,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
17        ,2023-03-03 15:57:42,000,  +38.38,  +36.62,  +35.77,  +38.55,  +91.35,  +26.28,  +26.09,  +26.86,  +26.71,  +24.79,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
18        ,2023-03-03 15:57:44,000,  +38.47,  +36.67,  +35.81,  +38.59,  +91.10,  +26.21,  +26.62,  +26.27,  +26.52,  +25.53,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
19        ,2023-03-03 15:57:46,000,  +38.59,  +36.70,  +35.86,  +38.61,  +90.85,  +26.14,  +27.06,  +25.91,  +26.80,  +25.97,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
